Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach,Capital improvement project,Infiltration policy,Freeboard policy,Buyouts,Future Buyout,Recreational investment,Shelter Small,Basketball Small,Football,Open Area Small,Shelter Medium,Soccer Small,Volleyball Small,Exercise Area Small,Picnic Area,Playground Large,Shelter Large,Soccer Large,Track,Trail Small,Amphitheater,Open Area Large,Playground Small,Soccer Medium,Softball/Baseball Small,Trail Medium,Trail Large
Role11,60,male,Retired,Open to Experience,Mixed,Soccer,Self-taught,Latin American,English and Spanish,Intermediate,Video,Active,Environmentalism,Single,Middle income,Health-conscious,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role12,28,nondisclosed,Engineer,Extroverted,Mixed,Reading,Self-taught,Eastern,English,Novice,Text,Active,Environmentalism,Widowed,Low income,Average health,Sporadic,Creative,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role13,23,nondisclosed,Unemployed,Open to Experience,Informal,Reading,High School,Latin American,English and Spanish,Expert,Voice,Active,Environmentalism,Widowed,Low income,Health-conscious,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1
Role14,69,nondisclosed,Engineer,Extroverted,Informal,Soccer,High School,Middle Eastern,English,Novice,Voice,Active,Traditional,Widowed,Middle income,Average health,Full-time,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role15,18,genderqueer,Engineer,Pessimistic,Humorous,Video Games,Graduate Degree,Western,English and Spanish,Expert,Mixed,Sedentary,Christianity,Single,High income,Health-conscious,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role16,23,female,Unemployed,Extroverted,Mixed,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Intermediate,Mixed,Sedentary,Christianity,Widowed,High income,Health-conscious,Sporadic,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role17,50,nondisclosed,Retired,Extroverted,Mixed,Reading,High School,Western,"English, Spanish, Mandarin",Intermediate,Mixed,Sedentary,Environmentalism,Single,Middle income,Average health,Sporadic,Practical,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Role18,59,genderqueer,Unemployed,Traditional,Mixed,Painting,High School,Western,English,Intermediate,Text,Active,Environmentalism,Single,High income,Average health,Full-time,Collaborative,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role19,52,genderqueer,Retired,Traditional,Empathetic,Video Games,Graduate Degree,Western,English,Expert,Text,Active,Traditional,Divorced,Middle income,Average health,Sporadic,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role20,66,female,Retired,Pessimistic,Informal,Painting,Graduate Degree,Latin American,English,Novice,Mixed,Active,Environmentalism,In a relationship,Low income,Health-conscious,Sporadic,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role21,26,nondisclosed,Student,Traditional,Mixed,Soccer,Self-taught,Eastern,"English, Spanish, Mandarin",Intermediate,Video,Active,Traditional,Single,High income,Health-conscious,Sporadic,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role22,51,male,Engineer,Open to Experience,Mixed,Soccer,High School,Middle Eastern,English,Expert,Mixed,Active,Environmentalism,Widowed,Low income,Health-conscious,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Role23,63,male,Engineer,Extroverted,Mixed,Reading,High School,Western,English,Novice,Video,Sedentary,Christianity,Widowed,Low income,Health-conscious,Sporadic,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role24,38,nondisclosed,Unemployed,Open to Experience,Mixed,Soccer,Graduate Degree,Middle Eastern,English and Spanish,Expert,Video,Sedentary,Traditional,Widowed,Middle income,Health-conscious,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role25,40,female,Unemployed,Extroverted,Informal,Painting,Graduate Degree,Middle Eastern,English,Novice,Voice,Active,Christianity,Single,Middle income,Average health,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role26,67,male,Retired,Open to Experience,Mixed,Painting,Self-taught,Middle Eastern,English,Novice,Mixed,Active,Traditional,Widowed,High income,Average health,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role27,19,nondisclosed,Unemployed,Extroverted,Informal,Soccer,High School,Eastern,"English, Spanish, Mandarin",Intermediate,Text,Active,Traditional,In a relationship,Low income,Health-conscious,Part-time,Practical,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role28,32,female,Unemployed,Traditional,Humorous,Reading,High School,Western,English,Expert,Mixed,Sedentary,Traditional,Divorced,High income,Average health,Full-time,Practical,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role29,77,female,Engineer,Extroverted,Humorous,Video Games,Self-taught,Latin American,English and Spanish,Expert,Video,Active,Environmentalism,In a relationship,High income,Average health,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role30,18,female,Engineer,Open to Experience,Empathetic,Painting,Graduate Degree,Eastern,English,Novice,Text,Active,Environmentalism,Divorced,High income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role31,72,genderqueer,Retired,Pessimistic,Mixed,Soccer,High School,Eastern,English,Novice,Video,Sedentary,Environmentalism,In a relationship,Middle income,Health-conscious,Full-time,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role32,20,nondisclosed,Student,Extroverted,Mixed,Reading,Graduate Degree,Eastern,English,Expert,Video,Active,Environmentalism,Widowed,Middle income,Health-conscious,Sporadic,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role33,75,genderqueer,Engineer,Traditional,Humorous,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Intermediate,Text,Active,Traditional,Divorced,Low income,Average health,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role34,60,male,Retired,Extroverted,Humorous,Reading,Graduate Degree,Latin American,English,Novice,Mixed,Active,Traditional,Single,High income,Health-conscious,Sporadic,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role35,77,female,Retired,Open to Experience,Informal,Painting,Graduate Degree,Eastern,English and Spanish,Expert,Text,Active,Traditional,Single,Middle income,Average health,Sporadic,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role36,26,nondisclosed,Student,Open to Experience,Humorous,Reading,Graduate Degree,Middle Eastern,English,Expert,Text,Active,Traditional,Single,High income,Health-conscious,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role37,65,male,Retired,Open to Experience,Empathetic,Reading,Self-taught,Middle Eastern,"English, Spanish, Mandarin",Novice,Video,Sedentary,Traditional,Widowed,Low income,Health-conscious,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role38,61,male,Retired,Traditional,Humorous,Reading,Self-taught,Western,English,Expert,Mixed,Sedentary,Christianity,In a relationship,High income,Health-conscious,Full-time,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role39,23,nondisclosed,Student,Traditional,Empathetic,Reading,High School,Latin American,English,Expert,Text,Active,Traditional,Divorced,Middle income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Role40,23,genderqueer,Student,Extroverted,Empathetic,Painting,Self-taught,Western,English,Intermediate,Video,Sedentary,Traditional,Divorced,Middle income,Average health,Part-time,Collaborative,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Role41,67,genderqueer,Engineer,Pessimistic,Humorous,Reading,High School,Eastern,"English, Spanish, Mandarin",Novice,Text,Active,Environmentalism,Divorced,High income,Average health,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0
Role42,77,genderqueer,Unemployed,Open to Experience,Mixed,Painting,Self-taught,Latin American,English and Spanish,Intermediate,Voice,Active,Christianity,Single,Low income,Health-conscious,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role43,57,nondisclosed,Retired,Open to Experience,Empathetic,Reading,Self-taught,Middle Eastern,"English, Spanish, Mandarin",Novice,Mixed,Sedentary,Christianity,Widowed,Low income,Average health,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Role44,70,female,Engineer,Traditional,Humorous,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Novice,Mixed,Sedentary,Christianity,Widowed,Low income,Health-conscious,Sporadic,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role45,37,male,Engineer,Extroverted,Humorous,Reading,Graduate Degree,Latin American,"English, Spanish, Mandarin",Novice,Text,Active,Christianity,Widowed,High income,Average health,Sporadic,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Role46,69,nondisclosed,Retired,Pessimistic,Mixed,Video Games,High School,Western,English and Spanish,Intermediate,Mixed,Active,Traditional,Widowed,Low income,Average health,Sporadic,Practical,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role47,19,male,Student,Open to Experience,Mixed,Reading,High School,Middle Eastern,English and Spanish,Expert,Text,Active,Christianity,Widowed,Low income,Average health,Full-time,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role48,27,nondisclosed,Engineer,Pessimistic,Empathetic,Reading,High School,Latin American,English,Intermediate,Text,Active,Christianity,Single,High income,Average health,Part-time,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role49,42,female,Unemployed,Extroverted,Humorous,Reading,High School,Eastern,English,Expert,Voice,Sedentary,Christianity,In a relationship,Low income,Average health,Sporadic,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role50,22,genderqueer,Student,Extroverted,Humorous,Reading,High School,Eastern,English and Spanish,Expert,Text,Active,Environmentalism,In a relationship,Low income,Average health,Full-time,Collaborative,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role51,21,female,Student,Open to Experience,Mixed,Video Games,Graduate Degree,Western,"English, Spanish, Mandarin",Expert,Video,Active,Traditional,In a relationship,High income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role52,24,nondisclosed,Student,Pessimistic,Informal,Soccer,High School,Middle Eastern,"English, Spanish, Mandarin",Expert,Voice,Sedentary,Environmentalism,In a relationship,Middle income,Average health,Sporadic,Creative,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Role53,55,nondisclosed,Retired,Pessimistic,Informal,Painting,Graduate Degree,Eastern,English and Spanish,Expert,Voice,Sedentary,Traditional,Widowed,Low income,Health-conscious,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Role54,77,female,Unemployed,Pessimistic,Empathetic,Reading,High School,Middle Eastern,English and Spanish,Novice,Video,Active,Environmentalism,In a relationship,Middle income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role55,79,genderqueer,Unemployed,Traditional,Empathetic,Soccer,Self-taught,Middle Eastern,"English, Spanish, Mandarin",Expert,Mixed,Sedentary,Traditional,Widowed,Low income,Average health,Sporadic,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1
Role56,46,nondisclosed,Engineer,Open to Experience,Informal,Soccer,Self-taught,Middle Eastern,English,Intermediate,Mixed,Sedentary,Traditional,Single,Middle income,Average health,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role57,29,female,Engineer,Pessimistic,Humorous,Painting,Graduate Degree,Middle Eastern,"English, Spanish, Mandarin",Novice,Video,Sedentary,Environmentalism,In a relationship,High income,Health-conscious,Part-time,Creative,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Role58,23,male,Student,Pessimistic,Mixed,Reading,High School,Latin American,English,Expert,Voice,Active,Traditional,In a relationship,Middle income,Health-conscious,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role59,29,female,Student,Pessimistic,Informal,Soccer,Self-taught,Latin American,"English, Spanish, Mandarin",Expert,Voice,Sedentary,Christianity,Widowed,Low income,Health-conscious,Part-time,Practical,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Role60,52,genderqueer,Unemployed,Traditional,Humorous,Soccer,High School,Western,English and Spanish,Expert,Text,Sedentary,Traditional,In a relationship,Middle income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role61,30,nondisclosed,Student,Traditional,Informal,Soccer,High School,Middle Eastern,English and Spanish,Expert,Mixed,Active,Traditional,Divorced,Low income,Health-conscious,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role62,58,male,Engineer,Traditional,Informal,Video Games,Graduate Degree,Latin American,"English, Spanish, Mandarin",Novice,Video,Sedentary,Environmentalism,Single,Middle income,Average health,Part-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role63,72,nondisclosed,Retired,Pessimistic,Empathetic,Painting,Graduate Degree,Eastern,"English, Spanish, Mandarin",Expert,Text,Sedentary,Christianity,Divorced,Low income,Health-conscious,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role64,69,nondisclosed,Retired,Extroverted,Mixed,Soccer,Graduate Degree,Eastern,English,Intermediate,Mixed,Sedentary,Traditional,Single,Middle income,Average health,Sporadic,Practical,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role65,68,male,Retired,Open to Experience,Informal,Painting,Graduate Degree,Western,"English, Spanish, Mandarin",Novice,Mixed,Active,Christianity,Single,Middle income,Health-conscious,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role66,79,genderqueer,Unemployed,Traditional,Humorous,Soccer,Self-taught,Middle Eastern,English and Spanish,Intermediate,Mixed,Sedentary,Christianity,In a relationship,Middle income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1
Role67,25,male,Student,Open to Experience,Empathetic,Soccer,Graduate Degree,Latin American,"English, Spanish, Mandarin",Intermediate,Voice,Sedentary,Traditional,Widowed,Middle income,Health-conscious,Full-time,Creative,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Role68,74,female,Retired,Extroverted,Empathetic,Reading,Graduate Degree,Western,English,Expert,Text,Active,Traditional,Divorced,Low income,Average health,Full-time,Creative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role69,76,female,Engineer,Pessimistic,Mixed,Reading,High School,Eastern,English,Intermediate,Mixed,Active,Traditional,Widowed,High income,Average health,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
Role70,40,genderqueer,Unemployed,Open to Experience,Humorous,Reading,High School,Latin American,"English, Spanish, Mandarin",Intermediate,Video,Active,Christianity,Divorced,High income,Health-conscious,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role71,78,genderqueer,Retired,Pessimistic,Mixed,Video Games,Self-taught,Latin American,English,Novice,Mixed,Sedentary,Christianity,Widowed,Low income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role72,78,male,Unemployed,Extroverted,Humorous,Painting,Graduate Degree,Eastern,English and Spanish,Novice,Voice,Sedentary,Traditional,In a relationship,Low income,Average health,Sporadic,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role73,70,nondisclosed,Retired,Extroverted,Humorous,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Novice,Video,Sedentary,Christianity,Divorced,Middle income,Average health,Sporadic,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role74,37,genderqueer,Engineer,Pessimistic,Mixed,Painting,Graduate Degree,Western,"English, Spanish, Mandarin",Expert,Video,Sedentary,Traditional,Single,Middle income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Role75,64,nondisclosed,Retired,Extroverted,Mixed,Video Games,High School,Western,English,Expert,Video,Active,Christianity,In a relationship,Low income,Health-conscious,Sporadic,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Role76,22,nondisclosed,Student,Pessimistic,Empathetic,Soccer,High School,Eastern,English,Novice,Video,Active,Traditional,Divorced,Low income,Average health,Sporadic,Practical,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role77,72,genderqueer,Retired,Extroverted,Humorous,Soccer,High School,Middle Eastern,English,Intermediate,Mixed,Sedentary,Traditional,Single,High income,Average health,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Role78,28,female,Engineer,Extroverted,Informal,Soccer,Graduate Degree,Latin American,English,Expert,Voice,Sedentary,Traditional,Widowed,Low income,Average health,Part-time,Collaborative,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Role79,24,male,Student,Open to Experience,Empathetic,Soccer,Graduate Degree,Eastern,English and Spanish,Novice,Text,Sedentary,Environmentalism,Single,Middle income,Health-conscious,Sporadic,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
Role80,57,male,Unemployed,Open to Experience,Mixed,Reading,Graduate Degree,Latin American,"English, Spanish, Mandarin",Expert,Mixed,Active,Traditional,Single,Low income,Average health,Full-time,Practical,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role81,33,nondisclosed,Unemployed,Pessimistic,Humorous,Painting,Self-taught,Latin American,English and Spanish,Intermediate,Video,Active,Traditional,In a relationship,High income,Average health,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Role82,72,genderqueer,Unemployed,Traditional,Informal,Painting,Self-taught,Eastern,English and Spanish,Novice,Voice,Active,Traditional,Divorced,Low income,Health-conscious,Full-time,Collaborative,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role83,72,genderqueer,Retired,Extroverted,Empathetic,Soccer,High School,Western,English and Spanish,Novice,Voice,Sedentary,Christianity,Single,High income,Health-conscious,Part-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Role84,49,nondisclosed,Engineer,Traditional,Mixed,Painting,Self-taught,Western,English,Intermediate,Text,Sedentary,Christianity,Widowed,Middle income,Average health,Part-time,Creative,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role85,18,genderqueer,Student,Extroverted,Mixed,Reading,Self-taught,Western,English,Intermediate,Video,Sedentary,Environmentalism,Widowed,High income,Health-conscious,Sporadic,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Role86,20,genderqueer,Unemployed,Traditional,Mixed,Reading,High School,Eastern,English and Spanish,Novice,Video,Active,Christianity,Widowed,Middle income,Health-conscious,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
Role87,47,nondisclosed,Unemployed,Pessimistic,Empathetic,Video Games,High School,Eastern,"English, Spanish, Mandarin",Novice,Video,Active,Traditional,Single,Low income,Average health,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role88,39,genderqueer,Engineer,Traditional,Informal,Painting,High School,Middle Eastern,English and Spanish,Expert,Text,Active,Traditional,Widowed,Low income,Health-conscious,Full-time,Practical,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role89,23,male,Student,Open to Experience,Informal,Painting,Self-taught,Middle Eastern,English and Spanish,Intermediate,Text,Sedentary,Christianity,In a relationship,High income,Health-conscious,Part-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Role90,74,male,Unemployed,Pessimistic,Humorous,Reading,Graduate Degree,Middle Eastern,English and Spanish,Intermediate,Video,Active,Traditional,Divorced,Low income,Average health,Full-time,Creative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Role91,29,male,Student,Extroverted,Mixed,Soccer,High School,Latin American,"English, Spanish, Mandarin",Expert,Video,Sedentary,Christianity,Widowed,Middle income,Health-conscious,Full-time,Collaborative,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
