Role,Age,Gender,Occupation,Personality Traits,Communication Style,Interests and Hobbies,Educational Background,Cultural Background,Language Proficiency,Technology Savviness,Preferred Communication Medium,Lifestyle,Values and Beliefs,Relationship Status,Economic Status,Health and Wellness,Time Availability,Problem-solving Approach
Role17,50,nondisclosed,Retired,Extroverted,Mixed,Reading,High School,Western,"English, Spanish, Mandarin",Intermediate,Mixed,Sedentary,Environmentalism,Single,Middle income,Average health,Sporadic,Practical
Role18,59,genderqueer,Unemployed,Traditional,Mixed,Painting,High School,Western,English,Intermediate,Text,Active,Environmentalism,Single,High income,Average health,Full-time,Collaborative
Role19,52,genderqueer,Retired,Traditional,Empathetic,Video Games,Graduate Degree,Western,English,Expert,Text,Active,Traditional,Divorced,Middle income,Average health,Sporadic,Collaborative
Role20,66,female,Retired,Pessimistic,Informal,Painting,Graduate Degree,Latin American,English,Novice,Mixed,Active,Environmentalism,In a relationship,Low income,Health-conscious,Sporadic,Creative
Role21,26,nondisclosed,Student,Traditional,Mixed,Soccer,Self-taught,Eastern,"English, Spanish, Mandarin",Intermediate,Video,Active,Traditional,Single,High income,Health-conscious,Sporadic,Creative
Role22,51,male,Engineer,Open to Experience,Mixed,Soccer,High School,Middle Eastern,English,Expert,Mixed,Active,Environmentalism,Widowed,Low income,Health-conscious,Part-time,Collaborative
Role23,63,male,Engineer,Extroverted,Mixed,Reading,High School,Western,English,Novice,Video,Sedentary,Christianity,Widowed,Low income,Health-conscious,Sporadic,Collaborative
Role24,38,nondisclosed,Unemployed,Open to Experience,Mixed,Soccer,Graduate Degree,Middle Eastern,English and Spanish,Expert,Video,Sedentary,Traditional,Widowed,Middle income,Health-conscious,Sporadic,Practical
Role25,40,female,Unemployed,Extroverted,Informal,Painting,Graduate Degree,Middle Eastern,English,Novice,Voice,Active,Christianity,Single,Middle income,Average health,Part-time,Creative
Role26,67,male,Retired,Open to Experience,Mixed,Painting,Self-taught,Middle Eastern,English,Novice,Mixed,Active,Traditional,Widowed,High income,Average health,Sporadic,Practical
Role27,19,nondisclosed,Unemployed,Extroverted,Informal,Soccer,High School,Eastern,"English, Spanish, Mandarin",Intermediate,Text,Active,Traditional,In a relationship,Low income,Health-conscious,Part-time,Practical
Role28,32,female,Unemployed,Traditional,Humorous,Reading,High School,Western,English,Expert,Mixed,Sedentary,Traditional,Divorced,High income,Average health,Full-time,Practical
Role29,77,female,Engineer,Extroverted,Humorous,Video Games,Self-taught,Latin American,English and Spanish,Expert,Video,Active,Environmentalism,In a relationship,High income,Average health,Full-time,Collaborative
Role30,18,female,Engineer,Open to Experience,Empathetic,Painting,Graduate Degree,Eastern,English,Novice,Text,Active,Environmentalism,Divorced,High income,Average health,Part-time,Collaborative
Role31,72,genderqueer,Retired,Pessimistic,Mixed,Soccer,High School,Eastern,English,Novice,Video,Sedentary,Environmentalism,In a relationship,Middle income,Health-conscious,Full-time,Practical
Role32,20,nondisclosed,Student,Extroverted,Mixed,Reading,Graduate Degree,Eastern,English,Expert,Video,Active,Environmentalism,Widowed,Middle income,Health-conscious,Sporadic,Practical
Role33,75,genderqueer,Engineer,Traditional,Humorous,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Intermediate,Text,Active,Traditional,Divorced,Low income,Average health,Full-time,Creative
Role34,60,male,Retired,Extroverted,Humorous,Reading,Graduate Degree,Latin American,English,Novice,Mixed,Active,Traditional,Single,High income,Health-conscious,Sporadic,Creative
Role35,77,female,Retired,Open to Experience,Informal,Painting,Graduate Degree,Eastern,English and Spanish,Expert,Text,Active,Traditional,Single,Middle income,Average health,Sporadic,Collaborative
Role36,26,nondisclosed,Student,Open to Experience,Humorous,Reading,Graduate Degree,Middle Eastern,English,Expert,Text,Active,Traditional,Single,High income,Health-conscious,Sporadic,Practical
Role37,65,male,Retired,Open to Experience,Empathetic,Reading,Self-taught,Middle Eastern,"English, Spanish, Mandarin",Novice,Video,Sedentary,Traditional,Widowed,Low income,Health-conscious,Full-time,Creative
Role38,61,male,Retired,Traditional,Humorous,Reading,Self-taught,Western,English,Expert,Mixed,Sedentary,Christianity,In a relationship,High income,Health-conscious,Full-time,Collaborative
Role39,23,nondisclosed,Student,Traditional,Empathetic,Reading,High School,Latin American,English,Expert,Text,Active,Traditional,Divorced,Middle income,Average health,Part-time,Collaborative
Role40,23,genderqueer,Student,Extroverted,Empathetic,Painting,Self-taught,Western,English,Intermediate,Video,Sedentary,Traditional,Divorced,Middle income,Average health,Part-time,Collaborative
Role41,67,genderqueer,Engineer,Pessimistic,Humorous,Reading,High School,Eastern,"English, Spanish, Mandarin",Novice,Text,Active,Environmentalism,Divorced,High income,Average health,Full-time,Practical
Role42,77,genderqueer,Unemployed,Open to Experience,Mixed,Painting,Self-taught,Latin American,English and Spanish,Intermediate,Voice,Active,Christianity,Single,Low income,Health-conscious,Part-time,Practical
Role43,57,nondisclosed,Retired,Open to Experience,Empathetic,Reading,Self-taught,Middle Eastern,"English, Spanish, Mandarin",Novice,Mixed,Sedentary,Christianity,Widowed,Low income,Average health,Full-time,Practical
Role44,70,female,Engineer,Traditional,Humorous,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Novice,Mixed,Sedentary,Christianity,Widowed,Low income,Health-conscious,Sporadic,Creative
Role45,37,male,Engineer,Extroverted,Humorous,Reading,Graduate Degree,Latin American,"English, Spanish, Mandarin",Novice,Text,Active,Christianity,Widowed,High income,Average health,Sporadic,Practical
Role46,69,nondisclosed,Retired,Pessimistic,Mixed,Video Games,High School,Western,English and Spanish,Intermediate,Mixed,Active,Traditional,Widowed,Low income,Average health,Sporadic,Practical
Role47,19,male,Student,Open to Experience,Mixed,Reading,High School,Middle Eastern,English and Spanish,Expert,Text,Active,Christianity,Widowed,Low income,Average health,Full-time,Practical
Role48,27,nondisclosed,Engineer,Pessimistic,Empathetic,Reading,High School,Latin American,English,Intermediate,Text,Active,Christianity,Single,High income,Average health,Part-time,Creative
Role49,42,female,Unemployed,Extroverted,Humorous,Reading,High School,Eastern,English,Expert,Voice,Sedentary,Christianity,In a relationship,Low income,Average health,Sporadic,Collaborative
Role50,22,genderqueer,Student,Extroverted,Humorous,Reading,High School,Eastern,English and Spanish,Expert,Text,Active,Environmentalism,In a relationship,Low income,Average health,Full-time,Collaborative
Role51,21,female,Student,Open to Experience,Mixed,Video Games,Graduate Degree,Western,"English, Spanish, Mandarin",Expert,Video,Active,Traditional,In a relationship,High income,Average health,Part-time,Collaborative
Role52,24,nondisclosed,Student,Pessimistic,Informal,Soccer,High School,Middle Eastern,"English, Spanish, Mandarin",Expert,Voice,Sedentary,Environmentalism,In a relationship,Middle income,Average health,Sporadic,Creative
Role53,55,nondisclosed,Retired,Pessimistic,Informal,Painting,Graduate Degree,Eastern,English and Spanish,Expert,Voice,Sedentary,Traditional,Widowed,Low income,Health-conscious,Full-time,Creative
Role54,77,female,Unemployed,Pessimistic,Empathetic,Reading,High School,Middle Eastern,English and Spanish,Novice,Video,Active,Environmentalism,In a relationship,Middle income,Average health,Part-time,Collaborative
Role55,79,genderqueer,Unemployed,Traditional,Empathetic,Soccer,Self-taught,Middle Eastern,"English, Spanish, Mandarin",Expert,Mixed,Sedentary,Traditional,Widowed,Low income,Average health,Sporadic,Creative
Role56,46,nondisclosed,Engineer,Open to Experience,Informal,Soccer,Self-taught,Middle Eastern,English,Intermediate,Mixed,Sedentary,Traditional,Single,Middle income,Average health,Full-time,Collaborative
Role57,29,female,Engineer,Pessimistic,Humorous,Painting,Graduate Degree,Middle Eastern,"English, Spanish, Mandarin",Novice,Video,Sedentary,Environmentalism,In a relationship,High income,Health-conscious,Part-time,Creative
Role58,23,male,Student,Pessimistic,Mixed,Reading,High School,Latin American,English,Expert,Voice,Active,Traditional,In a relationship,Middle income,Health-conscious,Sporadic,Practical
Role59,29,female,Student,Pessimistic,Informal,Soccer,Self-taught,Latin American,"English, Spanish, Mandarin",Expert,Voice,Sedentary,Christianity,Widowed,Low income,Health-conscious,Part-time,Practical
Role60,52,genderqueer,Unemployed,Traditional,Humorous,Soccer,High School,Western,English and Spanish,Expert,Text,Sedentary,Traditional,In a relationship,Middle income,Health-conscious,Full-time,Collaborative
Role61,30,nondisclosed,Student,Traditional,Informal,Soccer,High School,Middle Eastern,English and Spanish,Expert,Mixed,Active,Traditional,Divorced,Low income,Health-conscious,Sporadic,Practical
Role62,58,male,Engineer,Traditional,Informal,Video Games,Graduate Degree,Latin American,"English, Spanish, Mandarin",Novice,Video,Sedentary,Environmentalism,Single,Middle income,Average health,Part-time,Practical
Role63,72,nondisclosed,Retired,Pessimistic,Empathetic,Painting,Graduate Degree,Eastern,"English, Spanish, Mandarin",Expert,Text,Sedentary,Christianity,Divorced,Low income,Health-conscious,Sporadic,Practical
Role64,69,nondisclosed,Retired,Extroverted,Mixed,Soccer,Graduate Degree,Eastern,English,Intermediate,Mixed,Sedentary,Traditional,Single,Middle income,Average health,Sporadic,Practical
Role65,68,male,Retired,Open to Experience,Informal,Painting,Graduate Degree,Western,"English, Spanish, Mandarin",Novice,Mixed,Active,Christianity,Single,Middle income,Health-conscious,Part-time,Collaborative
Role66,79,genderqueer,Unemployed,Traditional,Humorous,Soccer,Self-taught,Middle Eastern,English and Spanish,Intermediate,Mixed,Sedentary,Christianity,In a relationship,Middle income,Average health,Part-time,Collaborative
Role67,25,male,Student,Open to Experience,Empathetic,Soccer,Graduate Degree,Latin American,"English, Spanish, Mandarin",Intermediate,Voice,Sedentary,Traditional,Widowed,Middle income,Health-conscious,Full-time,Creative
Role68,74,female,Retired,Extroverted,Empathetic,Reading,Graduate Degree,Western,English,Expert,Text,Active,Traditional,Divorced,Low income,Average health,Full-time,Creative
Role69,76,female,Engineer,Pessimistic,Mixed,Reading,High School,Eastern,English,Intermediate,Mixed,Active,Traditional,Widowed,High income,Average health,Part-time,Collaborative
Role70,40,genderqueer,Unemployed,Open to Experience,Humorous,Reading,High School,Latin American,"English, Spanish, Mandarin",Intermediate,Video,Active,Christianity,Divorced,High income,Health-conscious,Part-time,Creative
Role71,78,genderqueer,Retired,Pessimistic,Mixed,Video Games,Self-taught,Latin American,English,Novice,Mixed,Sedentary,Christianity,Widowed,Low income,Health-conscious,Full-time,Collaborative
Role72,78,male,Unemployed,Extroverted,Humorous,Painting,Graduate Degree,Eastern,English and Spanish,Novice,Voice,Sedentary,Traditional,In a relationship,Low income,Average health,Sporadic,Collaborative
Role73,70,nondisclosed,Retired,Extroverted,Humorous,Video Games,High School,Middle Eastern,"English, Spanish, Mandarin",Novice,Video,Sedentary,Christianity,Divorced,Middle income,Average health,Sporadic,Collaborative
Role74,37,genderqueer,Engineer,Pessimistic,Mixed,Painting,Graduate Degree,Western,"English, Spanish, Mandarin",Expert,Video,Sedentary,Traditional,Single,Middle income,Health-conscious,Full-time,Collaborative
Role75,64,nondisclosed,Retired,Extroverted,Mixed,Video Games,High School,Western,English,Expert,Video,Active,Christianity,In a relationship,Low income,Health-conscious,Sporadic,Collaborative
Role76,22,nondisclosed,Student,Pessimistic,Empathetic,Soccer,High School,Eastern,English,Novice,Video,Active,Traditional,Divorced,Low income,Average health,Sporadic,Practical
Role77,72,genderqueer,Retired,Extroverted,Humorous,Soccer,High School,Middle Eastern,English,Intermediate,Mixed,Sedentary,Traditional,Single,High income,Average health,Full-time,Practical
Role78,28,female,Engineer,Extroverted,Informal,Soccer,Graduate Degree,Latin American,English,Expert,Voice,Sedentary,Traditional,Widowed,Low income,Average health,Part-time,Collaborative
Role79,24,male,Student,Open to Experience,Empathetic,Soccer,Graduate Degree,Eastern,English and Spanish,Novice,Text,Sedentary,Environmentalism,Single,Middle income,Health-conscious,Sporadic,Collaborative
Role80,57,male,Unemployed,Open to Experience,Mixed,Reading,Graduate Degree,Latin American,"English, Spanish, Mandarin",Expert,Mixed,Active,Traditional,Single,Low income,Average health,Full-time,Practical
Role81,33,nondisclosed,Unemployed,Pessimistic,Humorous,Painting,Self-taught,Latin American,English and Spanish,Intermediate,Video,Active,Traditional,In a relationship,High income,Average health,Full-time,Collaborative
Role82,72,genderqueer,Unemployed,Traditional,Informal,Painting,Self-taught,Eastern,English and Spanish,Novice,Voice,Active,Traditional,Divorced,Low income,Health-conscious,Full-time,Collaborative
Role83,72,genderqueer,Retired,Extroverted,Empathetic,Soccer,High School,Western,English and Spanish,Novice,Voice,Sedentary,Christianity,Single,High income,Health-conscious,Part-time,Creative
Role84,49,nondisclosed,Engineer,Traditional,Mixed,Painting,Self-taught,Western,English,Intermediate,Text,Sedentary,Christianity,Widowed,Middle income,Average health,Part-time,Creative
Role85,18,genderqueer,Student,Extroverted,Mixed,Reading,Self-taught,Western,English,Intermediate,Video,Sedentary,Environmentalism,Widowed,High income,Health-conscious,Sporadic,Practical
Role86,20,genderqueer,Unemployed,Traditional,Mixed,Reading,High School,Eastern,English and Spanish,Novice,Video,Active,Christianity,Widowed,Middle income,Health-conscious,Full-time,Practical
Role87,47,nondisclosed,Unemployed,Pessimistic,Empathetic,Video Games,High School,Eastern,"English, Spanish, Mandarin",Novice,Video,Active,Traditional,Single,Low income,Average health,Full-time,Practical
Role88,39,genderqueer,Engineer,Traditional,Informal,Painting,High School,Middle Eastern,English and Spanish,Expert,Text,Active,Traditional,Widowed,Low income,Health-conscious,Full-time,Practical
Role89,23,male,Student,Open to Experience,Informal,Painting,Self-taught,Middle Eastern,English and Spanish,Intermediate,Text,Sedentary,Christianity,In a relationship,High income,Health-conscious,Part-time,Collaborative
Role90,74,male,Unemployed,Pessimistic,Humorous,Reading,Graduate Degree,Middle Eastern,English and Spanish,Intermediate,Video,Active,Traditional,Divorced,Low income,Average health,Full-time,Creative
Role91,29,male,Student,Extroverted,Mixed,Soccer,High School,Latin American,"English, Spanish, Mandarin",Expert,Video,Sedentary,Christianity,Widowed,Middle income,Health-conscious,Full-time,Collaborative
Role92,75,nondisclosed,Unemployed,Traditional,Empathetic,Soccer,Self-taught,Middle Eastern,English and Spanish,Expert,Text,Active,Environmentalism,In a relationship,Middle income,Average health,Full-time,Collaborative
Role93,23,male,Student,Open to Experience,Humorous,Soccer,Graduate Degree,Middle Eastern,"English, Spanish, Mandarin",Expert,Voice,Sedentary,Christianity,In a relationship,Middle income,Health-conscious,Sporadic,Collaborative
Role94,61,genderqueer,Unemployed,Open to Experience,Humorous,Reading,Graduate Degree,Middle Eastern,"English, Spanish, Mandarin",Novice,Voice,Active,Christianity,Widowed,High income,Average health,Full-time,Creative
Role95,54,female,Retired,Pessimistic,Mixed,Reading,Graduate Degree,Middle Eastern,"English, Spanish, Mandarin",Expert,Video,Sedentary,Traditional,Divorced,Middle income,Health-conscious,Sporadic,Collaborative
Role96,30,female,Student,Pessimistic,Informal,Soccer,Graduate Degree,Latin American,English,Expert,Text,Active,Traditional,Divorced,High income,Average health,Part-time,Creative
Role97,47,nondisclosed,Unemployed,Extroverted,Informal,Soccer,Graduate Degree,Latin American,English,Intermediate,Voice,Active,Environmentalism,In a relationship,High income,Average health,Sporadic,Practical
Role98,72,genderqueer,Retired,Extroverted,Empathetic,Video Games,High School,Western,English,Intermediate,Text,Active,Environmentalism,Widowed,Low income,Health-conscious,Part-time,Practical
Role99,72,genderqueer,Engineer,Pessimistic,Informal,Soccer,Self-taught,Middle Eastern,English,Intermediate,Mixed,Sedentary,Christianity,In a relationship,Low income,Health-conscious,Full-time,Collaborative
Role100,79,male,Retired,Open to Experience,Mixed,Video Games,Self-taught,Middle Eastern,English and Spanish,Intermediate,Text,Sedentary,Environmentalism,Single,Middle income,Average health,Sporadic,Collaborative
Role101,57,female,Teacher,Traditional,Empathetic,Video Games,Bachelor,African,French,Expert,Video,Active,Christianity,Single,High income,Health-conscious,Full-time,Practical
Role102,76,genderqueer,Engineer,Innovative,Direct,Reading,Graduate Degree,African,English,Intermediate,Mixed,Sedentary,Humanism,Single,Middle income,Health-conscious,Full-time,Creative
Role103,73,genderqueer,Retired,Innovative,Direct,Painting,High School,Middle Eastern,French,Expert,Voice,Active,Islam,Single,Middle income,Healthy,Full-time,Practical
Role104,18,nondisclosed,Engineer,Traditional,Mixed,Cooking,Bachelor,Eastern,French,Novice,Video,Active,Humanism,In a relationship,Middle income,Health-conscious,Full-time,Practical
Role105,31,female,Doctor,Introverted,Formal,Traveling,Bachelor,Eastern,English,Novice,Video,Active,Humanism,Single,Low income,Health-conscious,Sporadic,Practical
Role106,34,genderqueer,Doctor,Extroverted,Empathetic,Sports,Bachelor,Eastern,Spanish,Expert,Voice,Sedentary,Environmentalism,Married,Middle income,Average health,Full-time,Analytical
Role107,52,genderqueer,Student,Extroverted,Mixed,Painting,High School,Eastern,Mandarin,Expert,Voice,Active,Islam,Married,Middle income,Health-conscious,Sporadic,Collaborative
Role108,49,genderqueer,Student,Innovative,Formal,Sports,Graduate Degree,African,English,Expert,Voice,Active,Atheism,Married,Low income,Average health,Sporadic,Collaborative
Role109,42,female,Artist,Extroverted,Formal,Cooking,High School,African,French,Expert,Video,Active,Environmentalism,Widowed,Low income,Average health,Part-time,Collaborative
Role110,40,nondisclosed,Artist,Innovative,Informal,Reading,High School,Western,Mandarin,Intermediate,Text,Sedentary,Islam,Single,Middle income,Health-conscious,Sporadic,Practical
Role111,67,female,Artist,Traditional,Formal,Sports,High School,Middle Eastern,French,Intermediate,Video,Active,Humanism,In a relationship,High income,Health-conscious,Part-time,Collaborative
Role112,24,genderqueer,Scientist,Traditional,Humorous,Sports,High School,Middle Eastern,Mandarin,Novice,Voice,Active,Humanism,Married,Middle income,Average health,Full-time,Practical
Role113,36,genderqueer,Scientist,Innovative,Direct,Painting,Graduate Degree,Middle Eastern,French,Intermediate,Voice,Active,Islam,Divorced,Low income,Health-conscious,Full-time,Practical
Role114,46,female,Artist,Traditional,Informal,Sports,Bachelor,Eastern,French,Novice,Text,Sedentary,Atheism,Widowed,Middle income,Health-conscious,Sporadic,Analytical
Role115,40,female,Doctor,Innovative,Humorous,Painting,Bachelor,Western,French,Intermediate,Mixed,Active,Islam,Married,Low income,Average health,Part-time,Creative
Role116,71,female,Student,Innovative,Formal,Painting,High School,Eastern,English,Intermediate,Mixed,Active,Humanism,Divorced,Low income,Health-conscious,Part-time,Creative
Role117,51,female,Student,Introverted,Mixed,Reading,Bachelor,Middle Eastern,Spanish,Novice,Mixed,Sedentary,Environmentalism,Married,High income,Healthy,Part-time,Analytical
Role118,55,genderqueer,Student,Innovative,Formal,Traveling,High School,Eastern,English,Intermediate,Mixed,Sedentary,Islam,Widowed,Middle income,Health-conscious,Sporadic,Practical
Role119,31,nondisclosed,Scientist,Extroverted,Informal,Painting,High School,Western,Spanish,Novice,Voice,Active,Humanism,In a relationship,Low income,Average health,Part-time,Practical
Role120,57,male,Artist,Introverted,Humorous,Video Games,High School,Western,English,Novice,Voice,Active,Christianity,Married,High income,Average health,Sporadic,Practical
Role121,57,female,Scientist,Introverted,Informal,Video Games,High School,Western,Spanish,Expert,Video,Active,Atheism,Single,Low income,Average health,Part-time,Practical
Role122,69,genderqueer,Retired,Extroverted,Direct,Cooking,Bachelor,African,Spanish,Novice,Video,Sedentary,Christianity,Single,Middle income,Health-conscious,Sporadic,Creative
Role123,80,nondisclosed,Scientist,Innovative,Empathetic,Cooking,Bachelor,Eastern,French,Expert,Voice,Sedentary,Christianity,Divorced,Low income,Healthy,Full-time,Analytical
Role124,34,male,Teacher,Extroverted,Informal,Sports,Graduate Degree,Western,English,Novice,Voice,Active,Islam,Single,High income,Average health,Part-time,Collaborative
Role125,63,female,Doctor,Traditional,Direct,Video Games,High School,Western,English,Intermediate,Text,Active,Environmentalism,Widowed,Middle income,Healthy,Part-time,Practical
Role126,31,nondisclosed,Engineer,Traditional,Informal,Video Games,High School,Eastern,Mandarin,Expert,Mixed,Active,Christianity,Married,Middle income,Healthy,Full-time,Analytical
Role127,27,female,Teacher,Traditional,Mixed,Reading,High School,Middle Eastern,Spanish,Intermediate,Voice,Sedentary,Atheism,Divorced,Middle income,Healthy,Sporadic,Analytical
Role128,22,genderqueer,Engineer,Traditional,Mixed,Painting,Bachelor,Middle Eastern,French,Expert,Mixed,Active,Humanism,In a relationship,High income,Healthy,Full-time,Collaborative
Role129,75,genderqueer,Doctor,Innovative,Direct,Video Games,Bachelor,African,French,Intermediate,Voice,Active,Atheism,Single,High income,Average health,Sporadic,Creative
Role130,65,nondisclosed,Scientist,Traditional,Mixed,Cooking,Graduate Degree,African,Mandarin,Novice,Video,Active,Environmentalism,Widowed,High income,Health-conscious,Part-time,Collaborative
Role131,32,genderqueer,Scientist,Innovative,Direct,Reading,Bachelor,Western,English,Expert,Mixed,Active,Atheism,Single,High income,Health-conscious,Sporadic,Analytical
Role132,55,genderqueer,Student,Introverted,Mixed,Sports,High School,African,English,Expert,Voice,Sedentary,Environmentalism,In a relationship,Middle income,Average health,Part-time,Collaborative
Role133,53,female,Scientist,Innovative,Direct,Sports,High School,African,Spanish,Novice,Text,Sedentary,Islam,In a relationship,Middle income,Health-conscious,Full-time,Creative
Role134,27,genderqueer,Student,Innovative,Informal,Reading,High School,Western,English,Intermediate,Voice,Active,Atheism,Divorced,High income,Health-conscious,Sporadic,Analytical
Role135,25,male,Artist,Innovative,Humorous,Sports,High School,African,Mandarin,Novice,Video,Sedentary,Environmentalism,Single,Middle income,Average health,Full-time,Creative
Role136,36,male,Teacher,Traditional,Formal,Sports,High School,Middle Eastern,Mandarin,Novice,Text,Sedentary,Environmentalism,Widowed,Middle income,Health-conscious,Full-time,Creative
Role137,41,genderqueer,Teacher,Introverted,Humorous,Sports,High School,Western,French,Intermediate,Video,Sedentary,Christianity,Divorced,Low income,Average health,Sporadic,Creative
Role138,26,genderqueer,Retired,Innovative,Mixed,Video Games,High School,Middle Eastern,French,Novice,Video,Active,Humanism,Divorced,Low income,Health-conscious,Part-time,Creative
Role139,76,genderqueer,Artist,Introverted,Informal,Traveling,Graduate Degree,Middle Eastern,Spanish,Intermediate,Text,Active,Atheism,Divorced,Low income,Health-conscious,Part-time,Collaborative
Role140,63,genderqueer,Engineer,Innovative,Humorous,Traveling,High School,Western,French,Novice,Voice,Sedentary,Environmentalism,Widowed,High income,Health-conscious,Part-time,Analytical
Role141,54,genderqueer,Retired,Extroverted,Informal,Cooking,Graduate Degree,Eastern,Spanish,Novice,Text,Sedentary,Humanism,Widowed,Low income,Average health,Part-time,Analytical
Role142,69,nondisclosed,Engineer,Introverted,Humorous,Cooking,High School,Middle Eastern,English,Expert,Video,Sedentary,Environmentalism,Divorced,Low income,Healthy,Part-time,Collaborative
Role143,28,female,Engineer,Innovative,Humorous,Video Games,Bachelor,Middle Eastern,English,Expert,Mixed,Sedentary,Islam,In a relationship,Low income,Average health,Full-time,Collaborative
Role144,20,nondisclosed,Artist,Introverted,Informal,Traveling,Graduate Degree,Western,Mandarin,Novice,Voice,Active,Christianity,Married,High income,Healthy,Full-time,Collaborative
Role145,19,nondisclosed,Artist,Extroverted,Informal,Video Games,High School,Middle Eastern,English,Expert,Voice,Sedentary,Atheism,Widowed,Middle income,Health-conscious,Sporadic,Practical
Role146,29,nondisclosed,Teacher,Innovative,Formal,Sports,Graduate Degree,African,English,Novice,Video,Active,Islam,Divorced,Low income,Healthy,Part-time,Analytical
Role147,42,female,Artist,Innovative,Empathetic,Cooking,Graduate Degree,Eastern,Mandarin,Intermediate,Mixed,Active,Atheism,Married,Middle income,Health-conscious,Full-time,Creative
Role148,56,female,Scientist,Innovative,Direct,Traveling,Bachelor,African,Mandarin,Novice,Video,Active,Environmentalism,In a relationship,High income,Healthy,Full-time,Collaborative
Role149,25,genderqueer,Teacher,Traditional,Formal,Video Games,Bachelor,Western,English,Novice,Text,Sedentary,Islam,In a relationship,High income,Healthy,Part-time,Creative
Role150,57,genderqueer,Student,Traditional,Informal,Sports,Graduate Degree,Middle Eastern,French,Intermediate,Voice,Sedentary,Humanism,Divorced,Low income,Health-conscious,Part-time,Creative
Role151,28,female,Artist,Extroverted,Humorous,Video Games,Bachelor,African,English,Novice,Video,Sedentary,Environmentalism,Widowed,High income,Health-conscious,Sporadic,Analytical
Role152,69,female,Doctor,Introverted,Humorous,Sports,High School,African,English,Expert,Text,Sedentary,Christianity,Divorced,High income,Health-conscious,Part-time,Creative
Role153,49,genderqueer,Engineer,Innovative,Humorous,Traveling,Graduate Degree,African,Mandarin,Novice,Video,Active,Atheism,Widowed,Low income,Health-conscious,Sporadic,Practical
Role154,74,male,Scientist,Extroverted,Mixed,Video Games,Bachelor,African,Spanish,Expert,Voice,Sedentary,Islam,Married,High income,Health-conscious,Part-time,Practical
